"filename", "language", "JSON", "SQLite", "JavaScript", "HTML", "CSS", "Markdown", "XML", "comment", "blank", "total"
"c:\University\MindCare_tests\MindCare_Test\Database\Debugging.sql", "SQLite", 0, 5, 0, 0, 0, 0, 0, 0, 4, 9
"c:\University\MindCare_tests\MindCare_Test\Database\MindcareDB.sql", "SQLite", 0, 126, 0, 0, 0, 0, 0, 3, 26, 155
"c:\University\MindCare_tests\MindCare_Test\README.md", "Markdown", 0, 0, 0, 0, 0, 6, 0, 0, 5, 11
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\adminController.js", "JavaScript", 0, 0, 70, 0, 0, 0, 0, 5, 5, 80
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\adminOverallStats.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 10, 12, 87
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\analyticsController.js", "JavaScript", 0, 0, 166, 0, 0, 0, 0, 14, 9, 189
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\auth.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 6, 5, 84
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\conversations.js", "JavaScript", 0, 0, 71, 0, 0, 0, 0, 0, 13, 84
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\dailyTasksController.js", "JavaScript", 0, 0, 122, 0, 0, 0, 0, 10, 16, 148
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\db.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\forumController.js", "JavaScript", 0, 0, 233, 0, 0, 0, 0, 15, 13, 261
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\journal.js", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 0, 12, 86
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\logger.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\middleware\auth.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 1, 6, 23
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\mood.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 12, 73
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\package-lock.json", "JSON", 1482, 0, 0, 0, 0, 0, 0, 0, 1, 1483
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\package.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\profile.js", "JavaScript", 0, 0, 77, 0, 0, 0, 0, 7, 7, 91
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\remindersController.js", "JavaScript", 0, 0, 84, 0, 0, 0, 0, 5, 10, 99
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\routes\admin.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 6, 8, 30
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\routes\analytics.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 2, 5, 13
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\routes\dailyTasks.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 2, 6, 23
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\routes\forum.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 6, 8, 55
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\routes\reminders.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 1, 5, 19
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\routes\sleepAnalysisRoutes.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 3, 5, 17
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\routes\sleepGoalsRoutes.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 3, 5, 17
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\routes\sleeproutes.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 1, 4, 20
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\server.js", "JavaScript", 0, 0, 110, 0, 0, 0, 0, 0, 34, 144
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\sleepAnalysisController.js", "JavaScript", 0, 0, 92, 0, 0, 0, 0, 11, 14, 117
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\sleepGoalsController.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 2, 6, 55
"c:\University\MindCare_tests\MindCare_Test\mindcare-backend\sleepcontroller.js", "JavaScript", 0, 0, 124, 0, 0, 0, 0, 21, 14, 159
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 33, 71
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\package-lock.json", "JSON", 21525, 0, 0, 0, 0, 0, 0, 0, 1, 21526
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\package.json", "JSON", 64, 0, 0, 0, 0, 0, 0, 0, 1, 65
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\public\index.html", "HTML", 0, 0, 0, 21, 0, 0, 0, 23, 1, 45
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\App.css", "CSS", 0, 0, 0, 0, 43, 0, 0, 0, 9, 52
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\App.js", "JavaScript", 0, 0, 118, 0, 0, 0, 0, 0, 8, 126
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\Pages\AdminPage.js", "JavaScript", 0, 0, 364, 0, 0, 0, 0, 2, 23, 389
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\Pages\AnalyticsPage.js", "JavaScript", 0, 0, 268, 0, 0, 0, 0, 5, 20, 293
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\Pages\AuthPage.js", "JavaScript", 0, 0, 163, 0, 0, 0, 0, 5, 19, 187
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\Pages\Chat.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\Pages\DailyTasksRemindersPage.js", "JavaScript", 0, 0, 900, 0, 0, 0, 0, 27, 54, 981
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\Pages\ForumPage.js", "JavaScript", 0, 0, 700, 0, 0, 0, 0, 14, 35, 749
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\Pages\HomePage.js", "JavaScript", 0, 0, 359, 0, 0, 0, 0, 2, 15, 376
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\Pages\JournalPage.js", "JavaScript", 0, 0, 597, 0, 0, 0, 0, 0, 31, 628
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\Pages\MoodTracker.js", "JavaScript", 0, 0, 733, 0, 0, 0, 0, 0, 32, 765
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\Pages\ProfilePage.js", "JavaScript", 0, 0, 226, 0, 0, 0, 0, 1, 14, 241
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\Pages\SleepTracker.js", "JavaScript", 0, 0, 975, 0, 0, 0, 0, 33, 48, 1056
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\Pages\Welcome.js", "JavaScript", 0, 0, 89, 0, 0, 0, 0, 0, 9, 98
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\components\ChatBot.js", "JavaScript", 0, 0, 818, 0, 0, 0, 0, 0, 69, 887
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\components\LoginForm.js", "JavaScript", 0, 0, 91, 0, 0, 0, 0, 0, 14, 105
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\components\Navbar.js", "JavaScript", 0, 0, 198, 0, 0, 0, 0, 1, 11, 210
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\components\ParticleWaveEffectComponent.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 8, 47
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\components\ProtectedRoute.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\components\RegisterForm.js", "JavaScript", 0, 0, 115, 0, 0, 0, 0, 0, 15, 130
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\components\RotatingQuotes.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\components\SOSButton.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 0, 8, 62
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\components\SOSModal.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 0, 5, 78
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\effects\ParticleWaveEffect.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 0, 19, 94
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\index.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\styles\AuthPage.css", "CSS", 0, 0, 0, 0, 42, 0, 0, 0, 10, 52
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\styles\Chat.css", "CSS", 0, 0, 0, 0, 37, 0, 0, 0, 8, 45
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\styles\Welcome.css", "CSS", 0, 0, 0, 0, 57, 0, 0, 0, 13, 70
"c:\University\MindCare_tests\MindCare_Test\mindcare-frontend\src\theme.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
